year	llen	lwid	ngalls	vgno	vdist	order	Gdiam	surv	wl	Neggs
1985	103	NA	3	1	16	1	NA	0	NA	NA
1985	103	NA	3	1	20	1	NA	0	NA	NA
1985	107	NA	6	3	4	1	5	1	NA	120
1985	107	NA	6	3	11	2	5	1	NA	96
1985	107	NA	6	3	18	3	5	0	NA	NA
1985	133	NA	5	1	110	1	6	0	NA	NA
1985	133	NA	5	2	15	1	2.5	0	NA	NA
1985	133	NA	5	2	19	2	5	1	NA	NA
1985	133	NA	5	2	9	1	3	1	NA	NA
1985	133	NA	5	2	14	2	3	0	NA	NA
1985	116	NA	8	1	7	1	2	0	NA	NA
1985	116	NA	8	1	18	1	3	0	NA	NA
1985	116	NA	8	1	22	1	2	1	NA	NA
1985	116	NA	8	1	20	1	4	1	NA	NA
1985	116	NA	8	1	17	1	4	0	NA	NA
1985	116	NA	8	1	8	1	2	1	NA	NA
1985	116	NA	8	1	19	1	2	0	NA	NA
1985	116	NA	8	1	91	1	2	0	NA	NA
1985	89	NA	3	1	7	1	3	0	NA	NA
1985	89	NA	3	1	64	1	5	0	NA	NA
1985	89	NA	3	1	10	1	4	0	NA	NA
1985	100	NA	11	1	15	1	3	1	NA	NA
1985	100	NA	11	1	22	1	4	0	NA	NA
1985	100	NA	11	2	14	1	5	0	NA	NA
1985	100	NA	11	2	29	2	4	0	NA	NA
1985	100	NA	11	1	22	1	3	0	NA	NA
1985	100	NA	11	2	6	1	5	0	NA	NA
1985	100	NA	11	2	8	2	4	0	NA	NA
1985	100	NA	11	1	4	1	3	0	NA	NA
1985	100	NA	11	3	59	1	5	0	NA	NA
1985	100	NA	11	3	65	2	5	0	NA	NA
1985	100	NA	11	3	74	3	3	0	NA	NA
1985	121	NA	9	1	13	1	2	0	NA	NA
1985	121	NA	9	1	8	1	5	1	NA	NA
1985	121	NA	9	2	6	1	2	0	NA	NA
1985	121	NA	9	2	13	2	2	0	NA	NA
1985	121	NA	9	1	12	1	5	1	NA	NA
1985	121	NA	9	1	6	1	5	1	NA	NA
1985	121	NA	9	1	4	1	5	0	NA	NA
1985	121	NA	9	2	7	1	5	1	NA	NA
1985	121	NA	9	2	13	2	5	0	NA	NA
1985	81	NA	18	1	1	1	NA	1	NA	130
1985	81	NA	18	1	22	1	NA	1	NA	NA
1985	81	NA	18	2	5	1	NA	0	NA	NA
1985	81	NA	18	2	6	2	NA	0	NA	NA
1985	81	NA	18	3	1	1	NA	1	NA	103
1985	81	NA	18	3	4	2	NA	0	NA	NA
1985	81	NA	18	3	11	3	NA	0	NA	NA
1985	81	NA	18	3	1	1	NA	1	NA	108
1985	81	NA	18	3	3	2	NA	0	NA	NA
1985	81	NA	18	3	4	3	NA	1	NA	NA
1985	81	NA	18	4	1	1	NA	0	NA	NA
1985	81	NA	18	4	2	2	NA	0	NA	NA
1985	81	NA	18	4	4	3	NA	0	NA	NA
1985	81	NA	18	4	10	4	NA	0	NA	NA
1985	81	NA	18	1	2	1	NA	0	NA	NA
1985	81	NA	18	3	53	1	NA	0	NA	NA
1985	81	NA	18	3	58	2	NA	0	NA	NA
1985	81	NA	18	3	64	3	NA	0	NA	NA
1985	93	NA	3	1	3	1	NA	0	NA	NA
1985	93	NA	3	1	3	1	NA	0	NA	NA
1985	93	NA	3	1	2	1	NA	0	NA	NA
1985	78	NA	6	2	6	1	5	0	NA	NA
1985	78	NA	6	2	14	2	4	0	NA	NA
1985	78	NA	6	1	6	1	6	1	NA	122
1985	78	NA	6	1	20	1	5	1	NA	100
1985	78	NA	6	1	7	1	6	1	NA	120
1985	78	NA	6	1	58	1	5	0	NA	NA
1985	104	NA	7	2	17	1	NA	1	NA	NA
1985	104	NA	7	2	23	2	NA	1	NA	NA
1985	104	NA	7	1	21	1	NA	1	NA	NA
1985	104	NA	7	1	17	1	NA	1	NA	NA
1985	104	NA	7	1	6	1	NA	0	NA	NA
1985	104	NA	7	1	6	1	NA	1	NA	NA
1985	104	NA	7	1	81	1	NA	1	NA	NA
1985	117	NA	8	2	13	1	3.6	0	NA	NA
1985	117	NA	8	2	24	2	6.9	0	NA	NA
1985	117	NA	8	1	14	1	4.1	0	NA	NA
1985	117	NA	8	1	21	1	6.8	0	NA	NA
1985	117	NA	8	1	5	1	7.3	0	NA	NA
1985	117	NA	8	1	96	1	5.3	0	NA	NA
1985	108	NA	4	1	16	1	6.2	0	NA	NA
1985	108	NA	4	1	13	1	1.6	0	NA	NA
1985	108	NA	4	1	4	1	6.7	0	NA	NA
1985	108	NA	4	1	4.5	1	6.6	0	NA	NA
1986	92	64	18	1	5.3	1	4.2	0	NA	NA
1986	92	64	18	1	7.1	1	4	0	NA	NA
1986	92	64	18	3	8.3	1	3.8	0	NA	NA
1986	92	64	18	3	16	2	2.6	0	NA	NA
1986	92	64	18	3	24.5	3	1.1	0	NA	NA
1986	92	64	18	2	17	1	5.3	0	NA	NA
1986	92	64	18	2	23.7	2	4	0	NA	NA
1986	92	64	18	2	8.7	1	3.3	0	NA	NA
1986	92	64	18	2	17	2	3.8	0	NA	NA
1986	92	64	18	2	3.5	1	4.3	0	NA	NA
1986	92	64	18	2	8.8	2	4	0	NA	NA
1986	92	64	18	2	0	1	3.9	0	NA	NA
1986	92	64	18	2	0	2	1.5	0	NA	NA
1986	92	64	18	1	4.3	1	2.9	0	NA	NA
1986	92	64	18	3	12	1	4.8	0	NA	NA
1986	92	64	18	3	23	2	3.5	0	NA	NA
1986	92	64	18	3	32.1	3	2.8	0	NA	NA
1986	92	64	18	1	7.2	1	4.5	0	NA	NA
1986	71	50	15	1	7.1	1	2.8	0	NA	NA
1986	71	50	15	2	6.2	1	4.8	0	NA	NA
1986	71	50	15	2	12.7	2	2.8	0	NA	NA
1986	71	50	15	3	7.5	1	4.3	0	NA	NA
1986	71	50	15	3	10	2	2.6	0	NA	NA
1986	71	50	15	3	12	3	2.9	0	NA	NA
1986	71	50	15	2	5.3	1	3.8	0	NA	NA
1986	71	50	15	2	7.8	2	0.5	0	NA	NA
1986	71	50	15	1	0	1	3.8	0	NA	NA
1986	71	50	15	1	13.8	1	3.1	0	NA	NA
1986	71	50	15	3	6.2	1	4.3	0	NA	NA
1986	71	50	15	3	14	2	3.8	0	NA	NA
1986	71	50	15	3	21	3	3.7	0	NA	NA
1986	71	50	15	2	7	1	4.6	0	NA	NA
1986	71	50	15	2	14.2	2	3.6	0	NA	NA
1986	71	50	15	1	2.7	1	1.7	0	NA	NA
1986	89	53	11	1	5.5	1	3.9	0	NA	NA
1986	89	53	11	2	8.8	1	4.5	0	NA	NA
1986	89	53	11	2	14.8	2	2.8	0	NA	NA
1986	89	53	11	1	10	1	4.5	0	NA	NA
1986	89	53	11	1	5.5	1	4.5	0	NA	NA
1986	89	53	11	1	0	1	3.5	0	NA	NA
1986	89	53	11	2	7.8	1	3.7	0	NA	NA
1986	89	53	11	2	18.8	2	3	0	NA	NA
1986	89	53	11	2	10.2	1	5.3	0	NA	NA
1986	89	53	11	2	19.3	2	4	0	NA	NA
1986	89	53	11	1	4.5	1	4.1	0	NA	NA
1986	83	55	18	2	13.6	1	0	0	NA	NA
1986	83	55	18	2	20.2	2	2.8	0	NA	NA
1986	83	55	18	4	8.3	1	4.6	0	NA	NA
1986	83	55	18	4	11.8	2	3.9	0	NA	NA
1986	83	55	18	4	16	3	2.3	0	NA	NA
1986	83	55	18	4	17.5	4	1.2	0	NA	NA
1986	83	55	18	2	10	1	2.2	0	NA	NA
1986	83	55	18	2	14.5	2	1.5	0	NA	NA
1986	83	55	18	2	0	1	1.6	0	NA	NA
1986	83	55	18	2	0	2	1.7	0	NA	NA
1986	83	55	18	1	13.2	1	4.3	0	NA	NA
1986	83	55	18	2	7.2	1	4.3	0	NA	NA
1986	83	55	18	2	14	2	1.3	0	NA	NA
1986	83	55	18	2	6.8	1	1.6	0	NA	NA
1986	83	55	18	2	15.7	2	2.8	0	NA	NA
1986	83	55	18	3	5.2	1	4.8	0	NA	NA
1986	83	55	18	3	10.5	2	2.4	0	NA	NA
1986	83	55	18	3	14.7	3	3.3	0	NA	NA
1986	83	55	18	1	2.2	1	1.9	0	NA	NA
1986	102	67	11	1	6	1	4.7	0	NA	NA
1986	102	67	11	1	6.2	1	4.4	0	NA	NA
1986	102	67	11	2	5.8	1	4.1	0	NA	NA
1986	102	67	11	2	15.8	2	2.7	0	NA	NA
1986	102	67	11	2	14.1	1	4.3	0	NA	NA
1986	102	67	11	2	24.5	2	2.5	0	NA	NA
1986	102	67	11	1	17.8	1	4.3	0	NA	NA
1986	102	67	11	2	11.7	1	3.8	0	NA	NA
1986	102	67	11	2	23.8	2	2.9	0	NA	NA
1986	102	67	11	1	5.4	1	4.5	0	NA	NA
1986	94	54	4	1	10.2	1	3.9	0	NA	NA
1986	94	54	4	1	4.5	1	NA	0	NA	NA
1986	94	54	4	1	20.2	1	3.9	0	NA	NA
1986	94	54	4	1	12.8	1	3.8	0	NA	NA
1986	67	45	4	1	11	1	3.6	0	NA	NA
1986	67	45	4	1	0	1	3.8	0	NA	NA
1986	67	45	4	2	5.7	1	3.7	0	NA	NA
1986	67	45	4	2	10.1	2	3.8	0	NA	NA
1986	105	70	13	1	22.3	1	4	0	NA	NA
1986	105	70	13	1	15.5	1	2.7	0	NA	NA
1986	105	70	13	1	0	1	0	0	NA	NA
1986	105	70	13	2	13.7	1	4.8	0	NA	NA
1986	105	70	13	2	20.5	2	0	0	NA	NA
1986	105	70	13	2	9	1	3.3	0	NA	NA
1986	105	70	13	2	20.3	2	3.3	0	NA	NA
1986	105	70	13	1	14.3	1	0	0	NA	NA
1986	105	70	13	1	8.8	1	3.6	0	NA	NA
1986	105	70	13	1	18.7	1	0	0	NA	NA
1986	105	70	13	1	5.7	1	0	0	NA	NA
1986	105	70	13	1	5.3	1	0	0	NA	NA
1986	105	70	13	1	5.8	1	0	0	NA	NA
1986	74	54	10	1	10.2	1	1.5	0	NA	NA
1986	74	54	10	2	6.5	1	2.2	0	NA	NA
1986	74	54	10	2	10.8	2	0	0	NA	NA
1986	74	54	10	1	3.8	1	3.1	0	NA	NA
1986	74	54	10	1	0	1	3.4	0	NA	NA
1986	74	54	10	1	5.5	1	1.6	0	NA	NA
1986	74	54	10	1	12.8	1	1.6	0	NA	NA
1986	74	54	10	2	8.8	1	1.7	0	NA	NA
1986	74	54	10	2	12.2	2	4	0	NA	NA
1986	74	54	10	1	4.5	1	3.1	0	NA	NA
1986	67	38	6	1	4.7	1	3.6	0	NA	NA
1986	67	38	6	2	3.5	1	3	0	NA	NA
1986	67	38	6	2	5.2	2	3.7	0	NA	NA
1986	67	38	6	1	4.3	1	3.6	0	NA	NA
1986	67	38	6	1	0	1	3.6	0	NA	NA
1986	67	38	6	1	4.4	1	4.2	0	NA	NA
1986	75	59	5	1	14.5	1	3.2	0	NA	NA
1986	75	59	5	1	20.5	1	3.8	0	NA	NA
1986	75	59	5	1	22	1	3.9	0	NA	NA
1986	75	59	5	1	23.2	1	3.8	0	NA	NA
1986	75	59	5	1	19.2	1	4.1	0	NA	NA
1986	79	46	12	2	7.7	1	1.6	0	NA	NA
1986	79	46	12	2	14.2	2	3.6	0	NA	NA
1986	79	46	12	1	18.7	1	0	0	NA	NA
1986	79	46	12	2	15.7	1	1.2	0	NA	NA
1986	79	46	12	2	16.3	2	2.2	0	NA	NA
1986	79	46	12	2	0	1	3.8	0	NA	NA
1986	79	46	12	2	0	2	3.6	0	NA	NA
1986	79	46	12	1	5.3	1	4.5	0	NA	NA
1986	79	46	12	2	13.3	1	4.5	0	NA	NA
1986	79	46	12	3	3.5	1	3.4	0	NA	NA
1986	79	46	12	2	17	2	2.5	0	NA	NA
1986	79	46	12	3	4	2	1.2	0	NA	NA
1986	79	46	12	3	9.3	3	2.5	0	NA	NA
1986	81	54	12	1	13	1	3.5	0	NA	NA
1986	81	54	12	2	14.4	1	3.8	0	NA	NA
1986	81	54	12	2	18.8	2	2.3	0	NA	NA
1986	81	54	12	1	12.6	1	3.9	0	NA	NA
1986	81	54	12	1	10.5	1	2.1	0	NA	NA
1986	81	54	12	2	0	1	3	0	NA	NA
1986	81	54	12	2	0	2	4.2	0	NA	NA
1986	81	54	12	1	10.2	1	1.4	0	NA	NA
1986	81	54	12	2	11.8	1	1.8	0	NA	NA
1986	81	54	12	2	20.5	2	2.4	0	NA	NA
1986	81	54	12	2	21	1	3.7	0	NA	NA
1986	81	54	12	2	26.2	2	3.8	0	NA	NA
1986	93	63	8	3	11	1	2.9	0	NA	NA
1986	93	63	8	3	15.2	2	4.4	0	NA	NA
1986	93	63	8	3	21.8	3	3.2	0	NA	NA
1986	93	63	8	1	8.5	1	3.8	0	NA	NA
1986	93	63	8	1	0	1	3.4	0	NA	NA
1986	93	63	8	1	14.7	1	3.6	0	NA	NA
1986	93	63	8	2	5.2	1	1.3	0	NA	NA
1986	93	63	8	2	10.4	2	3.3	0	NA	NA
1986	105	92	11	1	22.9	1	0.6	0	NA	NA
1986	105	92	11	2	18.7	1	2.8	0	NA	NA
1986	105	92	11	2	23.8	2	1.7	0	NA	NA
1986	105	92	11	1	4.3	1	2.8	0	NA	NA
1986	105	92	11	2	0	1	2.7	0	NA	NA
1986	105	92	11	2	0	2	0.9	0	NA	NA
1986	105	92	11	1	39.5	1	3.9	0	NA	NA
1986	105	92	11	2	19.5	1	4.1	0	NA	NA
1986	105	92	11	2	32.2	2	1.8	0	NA	NA
1986	105	92	11	2	13.3	1	2.8	0	NA	NA
1986	105	92	11	2	19.7	2	1.5	0	NA	NA
1986	74	49	12	1	2.2	1	1.8	0	NA	NA
1986	74	49	12	2	2.5	1	4.2	0	NA	NA
1986	74	49	12	2	9.8	2	1.9	0	NA	NA
1986	74	49	12	1	1.7	1	1.9	0	NA	NA
1986	74	49	12	4	3.8	1	2.4	0	NA	NA
1986	74	49	12	4	6	2	2.2	0	NA	NA
1986	74	49	12	4	12.3	3	2	0	NA	NA
1986	74	49	12	4	16.3	4	2.2	0	NA	NA
1986	74	49	12	4	7.5	1	4.4	0	NA	NA
1986	74	49	12	4	10.2	2	3.4	0	NA	NA
1986	74	49	12	4	12.3	3	3	0	NA	NA
1986	74	49	12	4	17.1	4	0.8	0	NA	NA
1986	76	30	12	1	4.3	1	2.3	0	NA	NA
1986	76	30	12	2	9.2	1	2.8	0	NA	NA
1986	76	30	12	2	14.3	2	1.9	0	NA	NA
1986	76	30	12	2	9.3	1	4	0	NA	NA
1986	76	30	12	2	18	2	1.7	0	NA	NA
1986	76	30	12	1	14.3	1	1.6	0	NA	NA
1986	76	30	12	1	4.5	1	2.1	0	NA	NA
1986	76	30	12	3	0	1	2.6	0	NA	NA
1986	76	30	12	3	0	2	2.8	0	NA	NA
1986	76	30	12	3	0	3	3.1	0	NA	NA
1986	76	30	12	1	8.8	1	3	0	NA	NA
1986	76	30	12	1	13.6	1	3.5	0	NA	NA
1986	67	55	1	2	10.7	1	4.6	1	NA	NA
1986	75	41	3	2	8.5	2	4.3	0	NA	NA
1986	75	41	3	1	8.5	1	4.5	0	NA	NA
1986	75	41	3	1	0	1	4.1	0	NA	NA
1986	88	59	6	1	12.2	1	4.1	0	NA	NA
1986	88	59	6	1	14.7	1	1.6	0	NA	NA
1986	88	59	6	1	12	1	3.6	0	NA	NA
1986	88	59	6	1	0	1	4.2	0	NA	NA
1986	88	59	6	1	14.2	1	4.3	0	NA	NA
1986	88	59	6	1	8	1	4	0	NA	NA
1986	86	59	7	1	14.3	1	3.8	0	NA	NA
1986	86	59	7	1	5.7	1	4.3	0	NA	NA
1986	86	59	7	1	5	1	4	0	NA	NA
1986	86	59	7	1	3.5	1	4.3	0	NA	NA
1986	86	59	7	1	21.3	1	4.2	0	NA	NA
1986	86	59	7	1	8.5	1	1.5	0	NA	NA
1986	86	59	7	1	4.5	1	3.9	0	NA	NA
1986	97	72	13	3	8.8	1	4.2	0	NA	NA
1986	97	72	13	3	23	2	3.3	0	NA	NA
1986	97	72	13	3	27.8	3	3.8	0	NA	NA
1986	97	72	13	1	15.5	1	4.4	0	NA	NA
1986	97	72	13	1	12.9	1	1.5	0	NA	NA
1986	97	72	13	1	0	1	1.6	0	NA	NA
1986	97	72	13	1	15.7	1	2.8	0	NA	NA
1986	97	72	13	2	16.2	1	3.3	0	NA	NA
1986	97	72	13	2	20.5	2	3.1	0	NA	NA
1986	97	72	13	2	4	1	4.3	0	NA	NA
1986	97	72	13	2	25.5	2	3.9	0	NA	NA
1986	97	72	13	2	7.6	1	1.5	0	NA	NA
1986	97	72	13	2	12	2	3.1	0	NA	NA
1986	97	72	13	1	3.3	1	3.9	0	NA	NA
1986	115	79	18	1	12.3	1	3.5	0	NA	NA
1986	115	79	18	3	24.2	1	4.3	0	NA	NA
1986	115	79	18	3	26.2	2	1.3	0	NA	NA
1986	115	79	18	3	31.2	3	2.4	0	NA	NA
1986	115	79	18	3	12.8	1	3.8	0	NA	NA
1986	115	79	18	3	25.7	2	1.7	0	NA	NA
1986	115	79	18	3	31.3	3	3.6	0	NA	NA
1986	115	79	18	2	15.3	1	1.3	0	NA	NA
1986	115	79	18	2	22.3	2	1.7	0	NA	NA
1986	115	79	18	1	4.3	1	0.8	0	NA	NA
1986	115	79	18	1	0	1	3.8	0	NA	NA
1986	115	79	18	2	17.8	1	4.3	0	NA	NA
1986	115	79	18	2	22.3	2	1.6	0	NA	NA
1986	115	79	18	1	17.3	1	4.1	0	NA	NA
1986	115	79	18	2	13.8	1	4.1	0	NA	NA
1986	115	79	18	2	18.5	2	0	0	NA	NA
1986	115	79	18	2	2.7	1	4.3	0	NA	NA
1986	115	79	18	2	6.2	2	4.1	0	NA	NA
1986	68	44	5	1	9.3	1	3.7	0	NA	NA
1986	68	44	5	1	4.5	1	4.1	0	NA	NA
1986	68	44	5	3	5.8	1	4.4	0	NA	NA
1986	68	44	5	3	14.7	2	4.3	0	NA	NA
1986	68	44	5	3	20.3	3	2.6	0	NA	NA
1986	69	46	4	1	9	1	4.6	0	NA	NA
1986	69	46	4	1	5.8	1	3.3	0	NA	NA
1986	69	46	4	1	0	1	4.8	1	NA	NA
1986	69	46	4	1	6.5	1	4.1	0	NA	NA
1986	92	59	15	1	10.2	1	3.8	0	NA	NA
1986	92	59	15	1	3.8	1	3.1	0	NA	NA
1986	92	59	15	2	8.7	1	4	0	NA	NA
1986	92	59	15	2	15.3	2	3.8	0	NA	NA
1986	92	59	15	2	2.8	1	3.6	0	NA	NA
1986	92	59	15	2	6.3	2	2	0	NA	NA
1986	92	59	15	2	0	1	0.6	0	NA	NA
1986	92	59	15	2	0	2	0.8	0	NA	NA
1986	92	59	15	1	5.8	1	4.3	0	NA	NA
1986	92	59	15	1	8.7	1	4.8	0	NA	NA
1986	92	59	15	3	7.2	1	4.5	0	NA	NA
1986	92	59	15	3	12	2	3.9	0	NA	NA
1986	92	59	15	3	16.2	3	0.9	0	NA	NA
1986	92	59	15	2	2.3	1	3.9	0	NA	NA
1986	92	59	15	2	4.7	2	2.3	0	NA	NA
1986	64	44	6	1	17.8	1	3.6	0	NA	NA
1986	64	44	6	1	6.8	1	2.8	0	NA	NA
1986	64	44	6	1	0	1	0	0	NA	NA
1986	64	44	6	1	7.8	1	1.9	0	NA	NA
1986	64	44	6	2	8.7	1	4.6	0	NA	NA
1986	64	44	6	2	15.5	2	4.2	0	NA	NA
1986	64	44	6	1	4.2	1	2.8	0	NA	NA
1986	64	44	6	1	4.5	1	0	0	NA	NA
1986	90	55	15	1	8.7	1	0	0	NA	NA
1986	90	55	15	1	12.5	1	4.1	0	NA	NA
1986	90	55	15	1	6.2	1	4.4	0	NA	NA
1986	90	55	15	2	3.5	1	4.6	0	NA	NA
1986	90	55	15	2	12.2	2	3.8	0	NA	NA
1986	90	55	15	1	3.8	1	3.7	0	NA	NA
1986	90	55	15	2	0	1	4.3	0	NA	NA
1986	90	55	15	2	0	2	3.8	0	NA	NA
1986	90	55	15	3	9.2	1	0	0	NA	NA
1986	90	55	15	3	17.8	2	3.7	0	NA	NA
1986	90	55	15	3	22.5	3	3.7	0	NA	NA
1986	90	55	15	4	5.8	1	0	0	NA	NA
1986	90	55	15	4	17.2	2	0.8	0	NA	NA
1986	90	55	15	4	22.2	3	4	0	NA	NA
1986	90	55	15	4	27	4	3.9	0	NA	NA
1986	90	55	15	2	5.7	1	4.3	0	NA	NA
1986	90	55	15	2	11.2	2	4.5	0	NA	NA
1986	90	55	15	1	8.8	1	4.3	0	NA	NA
1986	83	56	18	2	13	1	2.5	0	NA	NA
1986	82	56	18	2	19.3	2	2.8	0	NA	NA
1986	82	56	18	4	7.5	1	4.4	0	NA	NA
1986	82	56	18	4	12.2	2	3.8	0	NA	NA
1986	82	56	18	4	15.5	3	2.2	0	NA	NA
1986	82	56	18	4	23.3	4	1.2	0	NA	NA
1986	82	56	18	2	10	1	2.3	0	NA	NA
1986	82	56	18	2	14.8	2	1.6	0	NA	NA
1986	82	56	18	1	0	1	1.6	0	NA	NA
1986	82	56	18	1	13.2	1	4.2	0	NA	NA
1986	82	56	18	2	7.5	1	4.3	0	NA	NA
1986	82	56	18	2	14.2	2	1.4	0	NA	NA
1986	82	56	18	2	7	1	1.7	0	NA	NA
1986	82	56	18	2	15.8	2	2.8	0	NA	NA
1986	82	56	18	3	5.5	1	4.8	0	NA	NA
1986	82	56	18	3	10.8	2	2.6	0	NA	NA
1986	82	56	18	3	14.8	3	3.3	0	NA	NA
1986	28	56	18	1	2.5	1	1.8	0	NA	NA
1986	82	56	18	1	0	1	1.7	0	NA	NA
1986	98	68	6	1	16.2	1	0	0	NA	NA
1986	98	68	6	1	4.2	1	1.5	0	NA	NA
1986	98	68	6	1	0	1	1.5	0	NA	NA
1986	98	68	6	1	17.2	1	2.3	0	NA	NA
1986	98	68	6	1	18	1	3.8	0	NA	NA
1986	98	68	6	1	11.8	1	4.4	0	NA	NA
1986	81	54	7	1	13.7	1	3.6	0	NA	NA
1986	81	54	7	1	15.5	1	0.5	0	NA	NA
1986	83	54	7	1	12.3	1	3.5	0	NA	NA
1986	83	54	7	1	0	1	3.6	0	NA	NA
1986	83	54	7	2	16.1	1	4.1	0	NA	NA
1986	83	54	7	2	20.2	2	3.8	1	NA	NA
1986	83	54	7	1	15.5	1	4.3	1	NA	NA
1986	66	44	9	1	7.5	1	1.3	0	NA	NA
1986	66	44	9	1	2.8	1	1.6	0	NA	NA
1986	66	44	9	1	3.8	1	4	0	NA	NA
1986	66	44	9	1	0	1	2.4	0	NA	NA
1986	66	44	9	1	4.3	1	4	0	NA	NA
1986	66	44	9	2	2.4	1	2.4	0	NA	NA
1986	66	44	9	2	4.8	2	3.1	0	NA	NA
1986	66	44	9	2	3.8	1	3.3	0	NA	NA
1986	66	44	9	2	8	2	3.6	0	NA	NA
1986	82	56	27	5	7.2	1	4.3	0	NA	NA
1986	82	56	27	5	8.5	2	3.5	0	NA	NA
1986	82	56	27	5	10.2	3	3.1	0	NA	NA
1986	82	56	27	5	18.2	4	2.3	0	NA	NA
