WL	WW	HW	THW	THL	THH	THVOL	T2	T3	T4	FU	LABR	PR	LL	PS
13.6	4.24	5.75	4	6.58	5	131.67	6	5.58	4.92	1.62	1.42	0.92	1.98	58
9.71	3.19	3.72	2.54	4.33	3	33.01	2.8	2.92	2.72	1.17	1.12	0.82	1.04	35
8.34	2.87	2.87	2.4	3.79	2.91	26.47	2.45	2.35	2.13	0.91	0.73	0.57	0.98	37
10.45	3.69	3.49	2.75	4.71	3.37	43.65	2.2	2.94	2.65	1.1	0.96	0.71	1.16	44
6.58	2.22	2.5	1.93	3.02	2.17	12.65	2.37	2.33	2.07	0.79	0.65	0.5	0.8	32
9.26	3.25	3.17	2.45	4.07	3.05	30.41	3.61	3.49	2.91	1.02	0.86	0.65	1.11	32
8.85	3.03	3.06	2.66	4.05	2.91	31.35	2.94	2.83	2.56	0.95	0.8	0.6	1.06	36
7.69	2.7	2.86	2.36	3.53	2.61	23.01	2.81	2.76	2.51	0.88	0.7	0.56	0.97	35.5
6.47	2.26	2.48	2.05	3.1	2.24	14.4	1.98	1.94	1.84	0.76	0.63	0.48	0.78	31.5
8.49	3.03	3.11	2.59	3.88	2.98	30.22	3.06	3.28	3.05	1.14	0.96	0.69	0.99	34.3
8.75	2.81	3	2.33	3.78	2.69	23.87	2.71	2.86	2.68	0.85	0.68	0.58	1.01	33.5
9.32	3.16	3.21	2.68	4.48	3.05	36.61	2.76	2.84	2.53	1.18	0.98	0.68	0.92	38
10.03	3.43	3.07	2.31	3.98	2.87	26.39	2.38	2.54	2.28	1.01	0.78	0.62	1.04	39
7.56	2.5	2.57	2.23	3.54	2.62	20.66	2.62	2.55	2.13	0.79	0.63	0.52	0.92	38
10.45	3.87	3.25	2.48	4.2	3.05	31.77	2.51	2.62	2.35	1.09	0.94	0.72	1.1	41
9.67	3.2	3.14	2.42	4.13	2.96	29.69	1.88	2.35	2.19	1.11	0.93	0.66	1.07	41.7
6.8	2.09	2.28	1.98	2.99	2.23	13.36	2.12	2.04	1.76	0.82	0.75	0.51	0.67	25.3
8.47	2.76	2.68	2.32	3.44	2.59	20.64	2.91	2.91	2.77	1.15	1.2	0.76	0.78	22.5
8.27	2.99	2.86	2.64	3.94	2.87	28.56	3.67	3.69	3.36	1.13	1.04	0.64	0.85	28
8.38	2.81	2.81	2.65	3.86	2.92	29.53	2.76	2.69	2.47	1.13	1.06	0.63	0.85	31
7.52	2.6	2.87	2.33	3.47	2.7	21.83	3.24	3.13	2.87	1.23	1.24	0.79	0.95	29
8.5	3.04	3.55	3.1	4.25	3.31	43.61	4.1	4.07	3.74	1.45	1.59	0.96	0.96	29
9.11	3.4	3.46	2.83	4.38	3.2	39.67	3.86	3.85	3.36	1.39	1.3	0.89	0.91	29
7.72	2.81	2.82	2.29	3.41	2.6	20.27	3.49	3.32	2.83	1.2	1.24	0.8	0.87	29
6.31	2.4	2.33	1.97	2.95	2.25	13.08	2.75	2.67	2.42	1.12	1.02	0.64	0.7	21
10.33	3.5	4.19	3.74	5.23	3.84	75.16	4.48	4.46	4.08	1.78	1.76	1.21	1.06	27
7.8	2.75	2.77	2.34	3.61	2.78	23.63	3.25	3.17	2.84	1.12	1.07	0.69	0.93	29
8.06	2.61	2.85	2.48	3.67	2.81	25.68	2.97	2.88	2.67	1.13	1.14	0.72	0.9	29.7
9.41	3.37	3.92	3.39	5.13	3.92	69.24	4.68	4.72	4.19	1.45	1.39	0.92	1.31	40.8
9.75	3.28	3.81	3.52	5.3	3.92	73.13	4.3	4.32	3.88	1.42	1.42	0.92	1.19	42
7.42	2.32	2.68	2.4	3.6	2.56	22.12	2.77	2.66	2.4	1.08	1.08	0.68	0.87	31
9.47	3.65	3.72	3.16	4.6	3.49	50.73	4.7	4.56	4.08	1.53	1.6	1.08	1.13	32
5.46	1.85	1.98	1.59	2.46	1.86	7.33	2.35	2.33	2.14	0.82	0.78	0.49	0.53	19.7
6.22	2.05	2.2	1.79	2.7	2.07	10.01	1.9	1.89	1.75	0.91	0.91	0.55	0.6	21
8.35	2.97	3.44	2.81	4.12	3.2	37.05	4.3	4.15	3.4	1.38	1.48	1.1	1	24
6.62	2.16	2.29	1.78	3.03	2.23	12.03	2.39	2.35	2.14	0.88	0.75	0.47	0.71	24
6.89	2.59	2.72	2.26	3.4	2.56	19.8	3.13	3.1	2.81	1.09	0.95	0.66	0.63	23.3
6.75	2.45	2.74	2.2	3.41	2.54	19.06	3.04	2.96	2.64	1.04	1	0.67	0.78	32
7.62	2.56	3.04	2.62	3.75	2.83	27.8	3.28	3.17	2.84	1.16	1.09	0.78	0.65	25
5.48	2.23	2.39	2.14	3.19	2.52	17.2	2.24	2.21	2.06	0.9	0.82	0.53	0.73	26
6.51	2.18	2.26	1.81	2.94	2.18	12.02	2.33	2.29	2.09	0.86	0.78	0.51	0.67	24.5
7.01	2.63	2.51	2.1	3.13	2.37	15.58	3.06	2.9	2.42	1.06	1.06	0.65	0.86	24
6.31	2.22	2.16	1.84	2.87	2.14	11.3	2.86	2.74	2.4	0.89	0.86	0.6	0.68	23
9.19	3.5	3.65	3.15	4.55	3.48	49.88	4.36	4.2	3.59	1.48	1.53	1	1.1	29
6.72	2.37	2.33	1.87	2.99	2.22	12.41	2.72	2.63	2.2	0.98	0.92	0.63	0.53	20
7.69	2.43	2.6	2.1	3.41	2.53	18.12	2.86	2.79	2.44	1.03	1.01	0.63	0.73	26
6.58	2.36	2.65	2.12	3.4	2.52	18.16	3.08	3.04	2.68	1.04	0.82	0.62	0.88	33
6.75	2.2	2.64	2.48	3.5	2.64	22.92	2.67	2.52	2.08	0.96	0.84	0.56	0.75	31
5.59	2.2	2.23	1.73	2.56	2.1	9.3	2.64	2.58	2.41	1.06	1.03	0.62	0.73	21
6.08	2.18	2.71	2.1	3.56	2.36	17.64	2.81	2.84	2.59	0.84	0.72	0.51	0.63	29
6.14	2.08	2.28	1.74	2.7	2.06	9.68	2.68	2.68	2.47	0.86	0.84	0.52	0.68	19
6.61	2.16	2.55	2.08	3.26	2.34	15.87	2.64	2.65	2.36	0.85	0.73	0.52	0.56	22
6.44	2.3	2.54	2.06	2.89	2.38	14.17	3.07	3	2.8	0.97	0.89	0.57	0.73	22
9	3.19	3.53	2.6	4.39	3.2	36.52	3.75	3.71	3.4	1.21	1.1	0.86	1.14	41.7
10.4	3.49	3.83	3.2	4.65	3.73	55.59	4.41	4.36	3.88	1.28	1.17	0.85	1.32	51
8.97	2.9	3.16	2.6	3.93	3.05	31.16	3.58	3.51	3.09	1.03	0.93	0.68	0.99	42
10.02	3.71	3.85	2.95	4.51	3.66	48.77	4.3	4.28	3.95	1.35	1.25	0.9	1.16	45.5
10.72	3.74	3.83	3.18	5	3.88	61.69	4.34	4.24	3.78	1.32	1.28	0.89	1.22	49
11.49	4.07	4.48	3.54	5.07	4.11	74.07	5.62	5.43	4.94	1.59	1.47	1.08	1.71	57.7
11.7	3.86	4.27	3.58	4.95	4.11	72.83	5.44	5.26	4.58	1.53	1.47	1	1.57	56
9	3.15	3.68	2.67	3.95	3.18	34.24	4.22	4.1	3.66	1.18	1	0.79	1.19	48.8
9.3	3.01	3.56	2.69	4	3.22	35.89	4.07	3.92	3.59	1.16	1.02	0.79	1.17	45.2
8.53	2.85	3.75	2.71	3.99	3.3	35.68	3.89	3.82	3.4	1.2	1.04	0.8	1.15	49
11.02	4.18	5.41	3.95	5.18	4.25	86.96	6.13	5.99	5.17	2.31	2.41	1.65	1.3	28
10.84	3.96	4.86	3.75	5.12	4	76.72	5.66	5.63	4.57	2.09	2.28	1.55	1.18	25
6.57	2.48	3.14	2.39	3.57	2.68	22.87	3.59	3.57	3.06	1.62	1.48	1	0.94	22
7.17	2.79	3.63	2.51	3.56	2.84	25.33	3.79	3.78	3.24	1.54	1.58	1.08	0.86	21.5
8.02	3.04	3.9	2.92	4.13	3.12	38.41	4.3	4.28	3.56	1.77	1.73	1.38	0.93	23.7
6.92	2.76	3.6	2.5	3.53	2.83	25.2	3.76	3.74	3.19	1.71	1.76	1.24	0.89	22.5
6.95	2.67	3.34	2.51	3.51	2.88	25.37	3.7	3.68	2.93	1.65	1.68	1.19	0.86	22
11.1	4.04	4.38	3.76	5.57	4.67	97.68	5.5	5.33	4.67	2.05	1.95	1.3	1.58	40
9.77	3.29	3.7	3.18	4.74	3.8	57.28	3.59	3.32	2.8	1.8	1.78	1.19	1.31	36
11.38	4.24	4.91	4.09	5.88	5.13	125.26	7.2	7.05	5.99	2.06	1.93	1.32	1.57	44
8.5	2.93	3.37	2.96	4.15	3.39	41.75	3.18	2.96	2.42	1.64	1.63	0.99	1.17	32.5
14.63	5.11	5.85	5.03	7.54	6.05	230.02	7.55	7.25	5.8	2.88	3.31	2.03	2.6	51.5
9.28	3.56	3.88	3.5	5.03	3.95	69.54	5.85	5.8	4.75	1.85	1.7	1.02	1.36	31
10.27	3.77	4.28	3.77	5.49	4.54	95.67	5.32	5.03	3.6	2.04	1.96	1.19	1.53	36
9.98	3.52	4.16	3.43	4.85	3.79	63.11	6.08	5.98	5.08	1.7	1.65	1.14	1.46	38
15.03	5.1	5.47	4.72	7.03	5.35	180.02	6.96	6.55	6	2.68	2.47	1.58	1.92	42.5
17.23	5.32	6	5.34	7.98	6.38	273.99	6.45	6.08	5.23	2.88	2.78	1.77	2.1	45
13.05	4.1	4.77	4.17	6.31	4.98	134.75	5.19	4.87	3.77	2.43	2.14	1.39	1.75	40.5
16.57	5.45	6.21	5.67	8.12	6.47	298.03	8.32	8.03	6.43	3.22	3.07	1.84	2.46	46.3
15.02	4.75	5.58	5.08	7.41	5.97	228.55	6.1	5.57	4.7	3.09	3.12	1.98	2.35	48
10.27	3.61	3.95	3.54	5.29	4.22	80	4.72	4.52	3.58	1.88	1.82	1.19	1.5	32.3
10.4	4.02	3.88	3.39	5.04	4.02	68.85	5.09	5.04	4.41	1.75	1.79	1.21	1.46	42
7.55	2.6	2.54	2.13	3.41	2.7	19.61	3.24	3.2	2.78	1.28	1.23	0.83	0.91	28
8.27	2.73	3.1	2.42	3.8	2.93	26.94	3.55	3.6	3.19	1.3	1.18	0.86	0.91	28
8.5	2.78	2.92	2.43	4.15	3.18	32.91	2.96	2.82	2.17	1.39	1.41	0.91	0.98	29.7
11.86	3.83	4.02	3.25	4.94	3.64	58.4	4.99	4.9	4.46	1.25	1.09	0.9	1.45	57
6.6	2.08	2.36	1.72	2.45	1.95	8.22	2.86	2.9	2.8	0.71	0.6	0.47	0.71	29
6.84	2.19	2.55	1.94	2.76	2.23	11.93	2.68	2.69	2.39	0.78	0.73	0.56	0.72	27
9.17	3.02	3.67	2.81	4.28	3.32	39.9	4.04	4.02	3.62	1.21	1	0.76	1.18	47
9.08	2.95	3.42	2.78	4.26	3.12	36.91	2.52	2.46	2.44	1.14	1.02	0.76	1.06	54
8.8	2.82	3	2.31	3.44	2.57	21.52	3.61	3.56	3.36	1.04	0.93	0.71	1	38.2
8.98	2.83	3.28	2.75	4.11	3.17	36.19	3.47	3.4	3.08	1.15	1.01	0.71	1.07	43
9.63	2.94	3.5	2.56	4.03	3.02	31.16	4.11	4.14	3.88	1.17	0.71	0.64	1.51	62
11.39	3.79	3.72	2.8	4.69	3.72	48.85	2.75	3.34	3.22	1.12	0.88	0.71	1.12	43
11.33	3.43	3.46	2.85	4.58	3.67	47.9	2.94	2.98	3.03	0.98	0.87	0.67	1.09	38
10	3.06	3.61	2.91	4.32	3.33	41.86	4.16	4.06	3.68	1.3	1.12	0.87	1.43	54
10.93	3.23	3.98	3.17	4.91	3.68	58.83	4.36	4.25	3.84	1.29	1.06	0.86	1.47	64.6
9.75	3.3	3.63	2.83	4.29	3.28	39.77	3.76	3.72	3.44	1.21	0.93	0.73	1.27	54
10.04	3.11	3.84	3.14	4.92	3.57	55.15	4.1	3.98	3.45	1.42	1.17	0.85	1.48	54
6.28	2.1	2.3	1.7	2.55	1.95	8.42	2.44	2.41	2.32	0.74	0.61	0.49	0.73	36
6.74	2.05	2.53	1.95	3.03	2.27	13.41	2.44	2.42	2.33	0.87	0.66	0.48	0.88	39
10.27	3.25	3.03	2.36	3.67	2.81	24.84	3.3	3.28	3.09	1.04	0.78	0.62	0.96	48
7.13	2.57	3.6	2.76	3.64	3.05	30.69	3.93	3.64	3.1	1.57	1.48	1.1	0.95	29
8.94	3.26	4.22	3.32	4.6	3.86	61.66	5.13	4.87	3.72	1.88	1.77	1.22	1.26	37
8.27	2.92	4.02	3.25	4.46	3.6	53.27	4.53	4.12	3.13	1.68	1.67	1.16	1.14	34.6
9.18	3.19	3.93	3.11	4.51	3.58	50.7	4.4	3.99	3.39	1.69	1.6	1.09	1.04	36.3
8.71	2.95	3.71	3.15	4.42	3.46	47.49	4.09	3.6	2.86	1.69	1.59	1.05	1.07	33.5
9.19	3.08	4.02	3.35	4.9	3.83	62.73	4.41	3.68	2.76	1.72	1.6	1.14	1.28	42
10.2	3.7	4.51	3.49	4.79	3.92	66.92	5.02	4.62	3.94	1.74	1.66	1.19	1.02	31.3
9.24	3.11	4.2	3.46	4.77	3.8	63.51	4.52	3.86	3.09	1.71	1.68	1.14	1.09	35.7
10.42	4.02	5	3.87	5.7	4.74	105.87	6.29	5.8	4.4	2.02	1.97	1.4	1.43	38.7
10.03	3.48	4.52	3.49	5.08	4.01	73.2	4.89	4.6	3.92	1.87	1.73	1.24	1.07	32.7
10.4	3.47	4.76	3.99	5.5	4.25	93.27	5.15	4.6	3.25	1.99	1.91	1.34	1.09	35
10.27	3.59	4.48	3.63	5.31	4.18	81	5.45	4.93	4.23	1.96	1.91	1.3	1.21	35.3
8.97	3	4.15	3.61	4.86	4.03	70.77	4.48	3.8	3.1	1.82	1.85	1.26	1.09	33
8.56	2.84	3.92	3.31	4.51	3.67	54.92	3.99	3.26	2.86	1.71	1.7	1.17	1.16	38.7
10.99	3.8	4.98	3.97	5.58	4.51	102.76	6.14	5.65	4.43	2.19	2.09	1.44	1.41	37.5
9.66	3.13	4.41	3.46	4.82	3.91	66.16	4.93	4.67	4.02	1.87	1.81	1.24	1.29	40.3
8.64	2.89	3.89	3.34	4.54	3.61	57.98	4.16	3.65	2.93	1.73	1.71	1.1	1.17	38.5
12.21	3.98	5	3.85	5.87	4.67	110.08	5.39	4.93	4.08	2.11	1.98	1.34	1.56	50
11.31	3.54	4.69	3.84	5.06	3.8	68.65	4.9	4.18	3.35	2.06	1.97	1.3	1.5	46
10.21	3.41	4.73	3.78	5.67	4.46	95.67	5.09	4.02	3.25	2.04	2.05	1.34	1.32	42
10.55	3.73	4.82	4.02	5.62	4.7	106.41	5.58	5.14	4.02	1.85	1.89	1.31	1.32	40
8.58	2.7	3.47	2.98	4.27	3.39	43.17	3.83	3.1	2.33	1.49	1.43	1.01	0.99	32
12.35	4.35	5.41	4.26	5.76	4.74	113.25	5.99	5.61	4.78	2.4	2.37	1.56	1.41	38.8
11.12	3.81	4.93	4.04	5.53	4.47	99.78	5.34	4.78	3.84	2.31	2.26	1.49	1.26	37.5
8.22	2.81	3.64	2.88	4.1	3.28	39.73	4.03	3.87	3.26	1.68	1.58	1.01	1.01	36.5
8.68	2.99	3.79	3.23	4.46	3.43	49.41	4.33	3.79	2.83	1.81	1.67	1.05	1.18	39
8.62	3.06	4.04	3.12	4.46	3.56	49.54	4.48	3.88	3.28	1.72	1.68	1.07	0.95	31
8.8	2.98	4.08	3.33	4.84	3.63	58.51	4.36	3.98	2.64	1.79	1.69	1.12	0.96	30
10.11	3.54	4.55	3.73	5.38	4.27	85.7	5.24	4.94	4.31	1.77	1.83	1.17	1.32	37
9.28	3.21	4.41	3.83	5.53	4.17	88.25	4.99	4.22	3.39	1.86	1.93	1.32	1.24	37
6.32	1.96	1.84	1.31	2.25	1.63	4.8	0.84	0.83	0.77	0.69	0.53	0.48	0.62	24
5.96	2.31	2.49	2	3.11	2.2	13.68	2.6	2.58	2.37	0.67	0.55	0.43	0.78	38
5.46	2.21	2.42	1.91	2.87	2.04	11.17	2.58	2.58	2.42	0.75	0.67	0.47	0.77	31
4.11	1.61	1.9	1.49	2.22	1.6	5.33	1.77	1.7	1.6	0.65	0.52	0.34	0.61	28.5
8.1	2.9	3.05	2.33	3.58	2.71	23.98	3.41	3.41	3.1	1.04	0.81	0.6	0.91	39.3
8.67	2.9	3.29	2.56	4.04	3.03	31.38	3.55	3.51	3.17	1.1	0.85	0.66	0.99	45
9.82	3.19	3.51	2.71	4.08	3.03	33.92	3.9	3.9	3.61	1.1	0.81	0.63	1.1	47
9.7	2.98	3.66	2.91	4.42	3.26	43.53	3.78	3.76	3.5	1.14	0.85	0.66	1.17	47.7
8.73	2.85	3.3	2.4	3.89	2.8	26.14	3.77	3.74	3.27	1.03	0.75	0.66	1.05	46
8.73	3.03	3.16	2.39	3.56	2.68	22.3	3.54	3.57	3.34	1.15	0.91	0.67	0.95	40.5
9.65	3.4	3.58	2.65	4.21	3.05	34.13	3.97	3.95	2.99	1.29	1	0.76	1.16	47.3
9.31	3.02	3.8	2.76	4.38	3.18	38.44	3.68	3.72	3.56	1.47	1.01	0.76	1.23	53
7.8	2.57	2.99	2.39	3.57	2.72	23.21	3.22	3.15	2.83	0.99	0.76	0.58	1.04	47
8.04	2.91	3.07	2.39	3.61	2.81	24.24	3.61	3.62	3.34	1.1	0.82	0.62	1.1	48
7.49	2.72	2.81	2.07	3.27	2.48	16.96	3.02	3.03	2.9	1.05	0.87	0.6	0.7	32.2
7.05	2.56	2.81	2.09	3.22	2.45	16.61	2.86	2.81	2.6	1.03	0.91	0.59	0.71	32
6.79	2.47	2.69	1.89	2.96	2.28	12.74	2.57	2.55	2.38	1.63	1.67	1.03	0.76	24
7.78	2.73	3.08	2.29	3.51	2.73	21.9	3.28	3.2	2.86	1.94	1.87	1.2	0.96	25
10.23	3.56	3.72	3.14	4.8	3.76	60.64	4.24	4.19	3.55	1.29	1.23	0.85	1.33	45
9.06	3.17	3.69	3.1	4.55	3.5	49.37	3.93	3.95	3.55	1.06	0.9	0.68	1.16	46
9.69	3.11	3.69	3.33	4.96	3.64	60.18	3.5	3.36	3.02	1.17	1.02	0.71	1.2	45.7
12.28	3.9	4.15	3.81	5.45	4.2	87.21	5.07	4.98	4.18	1.42	1.15	0.82	1.68	58
11.61	3.38	4.55	3.9	6.21	4.5	108.99	4.08	3.6	3.11	1.43	1.19	0.87	1.54	49
10	3.47	4.08	3.14	4.6	3.58	51.79	4.7	4.55	3.96	1.69	1.52	1.04	1.04	33.3
10.15	3.49	4.19	3.53	5.08	3.9	69.94	4.94	4.68	3.79	1.83	1.63	1.13	1.06	36
10.35	3.62	4.27	3.35	4.91	3.71	61.1	4.64	4.38	3.93	1.67	1.58	1.05	1.05	33.5
8.74	2.92	3.81	2.9	4.13	3.32	41.23	4.12	3.92	3.47	1.59	1.47	1.03	0.96	30.7
8.89	3.01	3.87	3.11	4.54	3.47	49.39	4.21	3.89	3.26	1.63	1.56	1	1.01	31.5
9.65	3.27	3.9	3.07	4.42	3.53	48.12	4.35	4.1	3.59	1.76	1.76	1.1	1.02	33
8.94	2.95	3.76	3.08	4.69	3.55	53.58	4.18	3.75	3.06	1.74	1.75	1.11	1.07	35.5
9.19	3.2	3.84	2.93	4.65	3.64	49.63	3.83	3.93	3.64	1.71	1.74	1.08	1.1	35
7.27	2.42	3.18	2.5	3.83	3.05	29.21	3.35	2.67	2.33	1.43	1.49	0.99	0.91	29
5.18	1.95	1.86	1.37	2.1	1.58	4.55	2.02	2.05	1.88	0.5	0.33	0.32	0.52	28
4.94	1.53	1.86	1.39	2.16	1.53	4.59	2.3	2.27	2.06	0.5	0.37	0.32	0.55	29
4.6	1.53	1.73	1.28	1.9	1.41	3.43	1.88	1.95	1.85	0.45	0.35	0.32	0.51	28
4.68	1.63	1.74	1.34	2.06	1.53	4.25	1.65	1.63	1.45	0.44	0.35	0.32	0.55	30.7
4.76	1.74	1.82	1.35	2.12	1.47	4.55	1.96	1.96	1.75	0.48	0.36	0.33	0.58	31.7
4.88	1.73	1.88	1.43	2.16	1.59	4.91	1.65	1.67	1.45	0.49	0.37	0.33	0.56	33
5.61	1.96	2.03	1.6	2.45	1.78	6.98	1.83	1.79	1.52	0.48	0.38	0.35	0.63	37
5.02	1.85	2.02	1.6	2.4	1.8	6.91	1.8	1.8	1.68	0.48	0.42	0.36	0.6	29
5.27	1.84	1.93	1.42	2.23	1.6	5.13	2.12	2.13	1.94	0.49	0.37	0.34	0.56	29
4.78	1.67	1.73	1.37	2.06	1.52	4.26	1.68	1.69	1.52	0.44	0.38	0.31	0.53	30
4.58	1.8	2.01	1.48	2.26	1.59	5.32	1.93	1.95	1.83	0.5	0.41	0.4	0.6	30
4.62	1.57	1.69	1.34	1.91	1.49	3.81	1.85	1.83	1.7	0.48	0.41	0.32	0.45	26
6.21	2.24	2.33	1.82	2.79	2.04	10.36	2.18	2.15	1.84	0.57	0.45	0.4	0.76	38
7.34	2.63	2.62	2.28	3.4	2.63	20.87	3.58	3.48	2.92	1.01	0.97	0.63	0.75	25.5
7.29	2.42	2.59	2.34	3.29	2.57	20.78	2.69	2.61	2.25	1.03	0.97	0.64	0.76	25
7.72	2.7	2.77	2.43	3.74	2.85	25.9	3.8	3.74	3.08	1.03	0.97	0.64	0.81	24
7.34	2.45	2.59	2.3	3.48	2.6	20.81	2.9	2.83	2.43	1.05	1.01	0.62	0.78	25
11.13	3.49	4.17	3.44	5.19	3.93	70.12	4.7	4.46	3.73	1.48	1.34	0.92	1.57	49
9.5	2.88	3.34	2.61	4.05	3.12	33.25	3.57	3.5	3.19	1.17	1.02	0.78	1.02	40.8
9.4	2.96	3.31	2.75	4.08	3.21	36.59	3.32	3.26	2.63	1.22	1.06	0.76	1.07	41.3
8.15	2.41	3	2.25	3.45	2.65	20.62	2.3	2.38	2.29	1.14	1.04	0.75	0.96	38
9.5	2.9	3.4	2.59	4.01	3.08	31.98	3.23	3.16	2.92	1.2	1.06	0.8	1.15	40
9.68	3.2	3.55	2.71	4.23	3.3	39.8	3.93	4.07	3.91	1.55	1.6	1.05	1.06	33.7
11.72	4.22	5.62	4.27	6.35	4.85	131.35	6.01	5.38	3.54	2.18	1.97	1.16	1.71	57
11.36	4.34	4.95	4.32	6.03	4.84	126.2	5.75	5.08	4.29	1.93	1.82	1.09	1.72	50.5
10.98	3.95	4.59	4.15	5.82	4.6	118.63	5.29	4.38	3.86	1.86	1.78	1.15	1.67	48.2
10.69	3.78	4.39	3.49	5.19	3.83	69.35	5.24	4.94	4.7	1.71	1.59	1.09	1.54	46
8.58	2.96	3.59	2.76	4.22	3.2	37.29	3.78	3.3	2.86	1.39	1.38	0.9	1.25	43
10.75	3.99	4.4	3.65	5.23	4.44	85.15	5.52	5.1	4.25	1.68	1.63	1.08	1.54	43.5
11.05	3.93	4.63	3.97	5.77	4.76	109.24	5.63	4.85	3.99	1.87	1.75	1.21	1.62	50
8.72	3.03	3.81	2.98	4.1	3.63	44.35	3.97	4.01	3.84	1.39	1.35	0.9	1.2	34
9.08	3.16	3.99	3.09	4.55	3.6	50.61	3.45	3.75	3.3	1.45	1.45	0.95	1.3	38
10.74	3.6	3.74	3.11	4.69	3.55	51.78	4.71	4.71	4.31	1.24	0.83	0.69	1.53	58
